epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,38.2003,1.70788,2.06162,2.4272,1.25714,0.42711,0.63868,0.53728,0.24298,0.65421,0.38462,0.3669,0.13876,2.12899,2.74821,2.18947,1.49878,0.0007129,0.0007129,0.0007129
31,39.2814,1.76181,2.11703,2.38056,1.28563,0.79851,0.46154,0.55099,0.22698,0.76441,0.35897,0.38777,0.12531,2.24122,2.74636,1.97851,1.53928,0.000703,0.000703,0.000703
32,40.3406,1.77624,2.13483,2.46132,1.28267,0.84332,0.4585,0.56373,0.21371,0.79317,0.41026,0.42413,0.11277,2.20034,2.78723,2.04174,1.47243,0.0006931,0.0006931,0.0006931
33,41.3965,1.70092,1.92546,2.39009,1.2301,0.70676,0.48177,0.57869,0.21677,0.64547,0.43288,0.40978,0.13406,2.13979,2.7449,1.93748,1.3865,0.0006832,0.0006832,0.0006832
34,42.4558,1.81393,2.02433,2.55088,1.25783,0.71112,0.48718,0.62001,0.25377,0.64524,0.4359,0.40271,0.1168,2.0972,2.76718,1.93981,1.37073,0.0006733,0.0006733,0.0006733
35,43.5296,1.68077,2.01867,2.16375,1.20769,0.38829,0.57265,0.6095,0.2652,0.75116,0.38761,0.42279,0.08979,2.24361,2.87923,1.90698,1.37599,0.0006634,0.0006634,0.0006634
36,44.5849,1.70357,1.95772,2.0928,1.17385,0.42759,0.57265,0.63423,0.28801,0.7557,0.35897,0.3871,0.08655,2.20538,2.91927,1.83805,1.39403,0.0006535,0.0006535,0.0006535
37,45.6682,1.62127,1.91517,2.08671,1.14748,0.37046,0.68376,0.54449,0.23048,0.30015,0.47009,0.39497,0.09455,2.17288,2.89136,1.89139,1.39163,0.0006436,0.0006436,0.0006436
38,46.7133,1.64193,1.97302,2.11975,1.16326,0.30492,0.73504,0.50604,0.23038,0.27631,0.65812,0.4391,0.10531,2.19998,2.95386,2.09099,1.46224,0.0006337,0.0006337,0.0006337
39,47.7838,1.654,2.05969,2.05359,1.2171,0.80115,0.39823,0.4857,0.24866,0.76197,0.42688,0.50506,0.15495,2.27671,2.79706,2.1937,1.5024,0.0006238,0.0006238,0.0006238
40,48.8643,1.63897,2.03745,2.01377,1.18728,0.81235,0.41026,0.51964,0.20086,0.83718,0.43257,0.52085,0.13988,2.26629,2.80568,2.19436,1.50216,0.0006139,0.0006139,0.0006139
41,49.9401,1.62979,1.89851,2.00065,1.17453,0.92747,0.4359,0.54685,0.28058,0.89768,0.4359,0.50413,0.11529,2.14257,2.8493,2.08163,1.40581,0.000604,0.000604,0.000604
42,50.999,1.6192,1.97368,2.01035,1.19455,0.88007,0.4308,0.53402,0.18995,0.88392,0.40946,0.46637,0.11419,2.01853,2.79537,2.16486,1.39535,0.0005941,0.0005941,0.0005941
43,52.075,1.56959,1.98658,2.02163,1.13674,0.80414,0.46055,0.49144,0.18274,0.88926,0.41026,0.44685,0.14126,2.10247,2.81544,2.08185,1.42922,0.0005842,0.0005842,0.0005842
44,53.1462,1.71757,1.94814,2.01378,1.17786,0.89564,0.45922,0.5094,0.18236,0.84305,0.38462,0.42197,0.13933,2.15869,2.83243,2.08079,1.43328,0.0005743,0.0005743,0.0005743
45,54.2219,1.69668,1.84917,2.08935,1.21667,0.89567,0.41026,0.49954,0.17494,0.7423,0.35897,0.37443,0.12081,2.37968,3.01551,2.04193,1.54837,0.0005644,0.0005644,0.0005644
46,55.2765,1.72495,1.99711,1.86606,1.24223,0.9013,0.4359,0.54349,0.18274,0.7242,0.35897,0.37623,0.12776,2.32572,2.94969,2.01791,1.49708,0.0005545,0.0005545,0.0005545
47,56.3382,1.5297,1.90597,1.80715,1.11856,0.88461,0.41026,0.50201,0.21007,0.71653,0.35897,0.36593,0.15247,2.22575,2.80703,2.06502,1.44333,0.0005446,0.0005446,0.0005446
48,57.4762,1.64784,2.26811,2.02663,1.1661,0.8936,0.41026,0.5046,0.21507,0.72422,0.35897,0.36747,0.17663,2.19003,2.73951,2.02526,1.49075,0.0005347,0.0005347,0.0005347
49,58.5812,1.57554,1.92853,1.93125,1.15354,0.38982,0.58973,0.52519,0.20998,0.81697,0.38462,0.39053,0.16061,2.07531,2.73649,2.00087,1.4698,0.0005248,0.0005248,0.0005248
50,59.6658,1.54481,1.92473,1.86655,1.13904,0.40312,0.59767,0.54551,0.22726,0.80924,0.38462,0.40878,0.16208,2.13039,2.77261,1.93681,1.46942,0.0005149,0.0005149,0.0005149
51,60.8262,1.55772,1.85798,1.78338,1.09451,0.82432,0.42585,0.51706,0.23362,0.77345,0.40136,0.41673,0.16676,2.01733,2.81766,1.79736,1.32288,0.000505,0.000505,0.000505
52,61.9083,1.53508,1.93296,1.84295,1.16265,0.78678,0.43059,0.49762,0.21595,0.82865,0.45325,0.43836,0.15143,2.09569,2.78107,1.73825,1.38232,0.0004951,0.0004951,0.0004951
53,63.1877,1.62193,1.9265,1.8578,1.16728,0.53669,0.57337,0.5929,0.25106,0.96384,0.38307,0.46128,0.14042,2.17193,2.62528,1.70624,1.48164,0.0004852,0.0004852,0.0004852
54,64.2613,1.49074,1.87936,1.78386,1.1443,0.51958,0.57265,0.62447,0.28336,0.69886,0.4359,0.45336,0.14297,2.13565,2.60646,1.69341,1.46691,0.0004753,0.0004753,0.0004753
55,65.3572,1.52596,2.03877,1.82076,1.1192,0.39566,0.70479,0.57062,0.26225,0.73606,0.38462,0.41606,0.14964,2.21877,2.6917,1.63445,1.49048,0.0004654,0.0004654,0.0004654
56,66.4471,1.55029,1.95271,1.72453,1.12983,0.38587,0.72923,0.59605,0.27495,0.77468,0.38382,0.38113,0.17783,2.24788,2.73806,1.73792,1.48209,0.0004555,0.0004555,0.0004555
57,67.5299,1.44771,1.82936,1.61392,1.10242,0.42585,0.76068,0.5927,0.27941,0.69814,0.38462,0.37698,0.14349,2.18374,2.76828,1.67957,1.46624,0.0004456,0.0004456,0.0004456
58,68.6766,1.50967,1.86575,1.57983,1.11059,0.48904,0.59198,0.58095,0.24955,0.3328,0.44748,0.39794,0.14623,2.23352,2.82839,1.72972,1.48583,0.0004357,0.0004357,0.0004357
59,69.8,1.54058,1.85268,1.68843,1.13847,0.44862,0.56982,0.62485,0.25138,0.72969,0.35897,0.38965,0.12161,2.27904,2.87504,1.75686,1.51093,0.0004258,0.0004258,0.0004258
60,70.8759,1.52819,1.81601,1.65062,1.13708,0.5179,0.54701,0.60833,0.27464,0.85214,0.37753,0.42918,0.12605,2.26312,2.88194,1.7132,1.50633,0.0004159,0.0004159,0.0004159
61,72.0305,1.50931,1.90655,1.67983,1.0993,0.65524,0.54701,0.60621,0.26823,0.83589,0.39244,0.41736,0.1082,2.21551,2.82961,1.76176,1.50497,0.000406,0.000406,0.000406
62,73.0982,1.54354,1.81133,1.70093,1.13645,0.63246,0.54701,0.61417,0.2539,0.83681,0.40371,0.43577,0.10157,2.21986,2.87793,1.83401,1.50441,0.0003961,0.0003961,0.0003961
63,74.1777,1.42806,1.77108,1.58066,1.11224,0.52267,0.57265,0.65183,0.23789,0.79147,0.40786,0.41422,0.08826,2.31183,2.93593,1.91155,1.58388,0.0003862,0.0003862,0.0003862
64,75.4065,1.49962,1.96616,1.66981,1.11793,0.93267,0.45847,0.63247,0.22402,0.7284,0.38462,0.37177,0.09244,2.3184,2.85142,1.95746,1.56355,0.0003763,0.0003763,0.0003763
65,76.6425,1.45028,1.85024,1.78342,1.07931,0.46868,0.54701,0.60854,0.22295,0.78473,0.40925,0.42683,0.09364,2.28868,2.76913,1.99666,1.50494,0.0003664,0.0003664,0.0003664
66,77.7533,1.48368,1.8012,1.531,1.08661,0.48519,0.54701,0.61194,0.23257,0.76095,0.41026,0.41502,0.09866,2.3107,2.76256,1.95993,1.50976,0.0003565,0.0003565,0.0003565
67,78.8449,1.39403,1.77548,1.60134,1.08006,0.43155,0.70545,0.63998,0.24569,0.34067,0.49573,0.4338,0.09256,2.35305,3.02604,1.81246,1.54358,0.0003466,0.0003466,0.0003466
68,79.9456,1.46978,1.86039,1.59859,1.10953,0.40733,0.57265,0.60704,0.21133,0.98678,0.33333,0.40149,0.09684,2.39114,3.18973,1.83262,1.55035,0.0003367,0.0003367,0.0003367
